fish_id,group_size,group_id,track,total_distance
t1_1s_track_0,1,t1_1s,track_0,19357.097905119474
t2_1s_track_0,1,t2_1s,track_0,4335.536650020494
t3_1s_track_0,1,t3_1s,track_0,3150.8260056951453
t4_1s_track_0,1,t4_1s,track_0,65748.08901766995
t5_1s_track_0,1,t5_1s,track_0,4759.02126737105
t6_1s_track_0,1,t6_1s,track_0,36510.53794462739
t7_1s_track_0,1,t7_1s,track_0,46857.198337013724
t8_1s_track_0,1,t8_1s,track_0,63426.425163723885
t1_2s_track_0,2,t1_2s,track_0,75169.26156789776
t1_2s_track_1,2,t1_2s,track_1,81029.30829754732
t2_2s_track_0,2,t2_2s,track_0,10594.12859617182
t2_2s_track_1,2,t2_2s,track_1,3755.32194661472
t3_2s_track_0,2,t3_2s,track_0,15946.618907281318
t3_2s_track_1,2,t3_2s,track_1,11249.421276299947
t4_2s_track_0,2,t4_2s,track_0,24941.40009885515
t4_2s_track_1,2,t4_2s,track_1,24135.316175966826
t5_2s_track_0,2,t5_2s,track_0,9985.33033663504
t5_2s_track_1,2,t5_2s,track_1,4804.975556677704
t6_2s_track_0,2,t6_2s,track_0,22848.200945959452
t6_2s_track_1,2,t6_2s,track_1,21987.50092743652
t7_2s_track_0,2,t7_2s,track_0,80894.1468731962
t7_2s_track_1,2,t7_2s,track_1,53517.546707157264
t8_2s_track_0,2,t8_2s,track_0,29801.964106241277
t8_2s_track_1,2,t8_2s,track_1,28683.44543142454
t1_3s_track_0,3,t1_3s,track_0,86086.96569083368
t1_3s_track_1,3,t1_3s,track_1,109941.88032168048
t1_3s_track_2,3,t1_3s,track_2,80375.90822170897
t2_3s_track_0,3,t2_3s,track_0,83960.67420635906
t2_3s_track_1,3,t2_3s,track_1,107127.38955090042
t2_3s_track_2,3,t2_3s,track_2,90779.93355081949
t3_3s_track_0,3,t3_3s,track_0,19370.105657047887
t3_3s_track_1,3,t3_3s,track_1,27833.493529235697
t3_3s_track_2,3,t3_3s,track_2,25546.47911017062
t4_3s_track_0,3,t4_3s,track_0,33793.28490616032
t4_3s_track_1,3,t4_3s,track_1,30492.067888736
t4_3s_track_2,3,t4_3s,track_2,28048.572518564553
t5_3s_track_0,3,t5_3s,track_0,69211.04006391838
t5_3s_track_1,3,t5_3s,track_1,78554.18763710419
t5_3s_track_2,3,t5_3s,track_2,74866.81482605607
t6_3s_track_0,3,t6_3s,track_0,101302.4725267743
t6_3s_track_1,3,t6_3s,track_1,99797.69405099675
t6_3s_track_2,3,t6_3s,track_2,77879.12221259475
t7_3s_track_0,3,t7_3s,track_0,30373.3896012911
t7_3s_track_1,3,t7_3s,track_1,67614.33316679903
t7_3s_track_2,3,t7_3s,track_2,58225.63431115753
t8_3s_track_0,3,t8_3s,track_0,68445.72374292568
t8_3s_track_1,3,t8_3s,track_1,82069.26139425838
t8_3s_track_2,3,t8_3s,track_2,63840.3637613687
t1_4s_track_0,4,t1_4s,track_0,93651.72555342206
t1_4s_track_1,4,t1_4s,track_1,122824.96602737783
t1_4s_track_2,4,t1_4s,track_2,109668.07628336306
t1_4s_track_3,4,t1_4s,track_3,131408.09965150457
t2_4s_track_0,4,t2_4s,track_0,55217.73901895131
t2_4s_track_1,4,t2_4s,track_1,66527.62366215639
t2_4s_track_2,4,t2_4s,track_2,67736.74728191324
t2_4s_track_3,4,t2_4s,track_3,55507.955454217736
t3_4s_track_0,4,t3_4s,track_0,89950.41530919955
t3_4s_track_1,4,t3_4s,track_1,83080.42544203791
t3_4s_track_2,4,t3_4s,track_2,92257.46250901523
t3_4s_track_3,4,t3_4s,track_3,61291.002000211345
t4_4s_track_0,4,t4_4s,track_0,103980.26644767982
t4_4s_track_1,4,t4_4s,track_1,135785.0754153685
t4_4s_track_2,4,t4_4s,track_2,92921.99302484661
t4_4s_track_3,4,t4_4s,track_3,112991.67734474328
t5_4s_track_0,4,t5_4s,track_0,85282.99708587697
t5_4s_track_1,4,t5_4s,track_1,94911.0921184692
t5_4s_track_2,4,t5_4s,track_2,80684.7831221267
t5_4s_track_3,4,t5_4s,track_3,87222.67986718452
t6_4s_track_0,4,t6_4s,track_0,110787.51402669978
t6_4s_track_1,4,t6_4s,track_1,110450.10764906458
t6_4s_track_2,4,t6_4s,track_2,101372.73160835302
t6_4s_track_3,4,t6_4s,track_3,89014.46451706835
t7_4s_track_0,4,t7_4s,track_0,91574.77264698799
t7_4s_track_1,4,t7_4s,track_1,83910.80917521748
t7_4s_track_2,4,t7_4s,track_2,61981.527728403766
t7_4s_track_3,4,t7_4s,track_3,57889.751256420626
t8_4s_track_0,4,t8_4s,track_0,143238.76628693045
t8_4s_track_1,4,t8_4s,track_1,116870.66014642431
t8_4s_track_2,4,t8_4s,track_2,130933.75625670452
t8_4s_track_3,4,t8_4s,track_3,151127.45079439785
